epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,515.384,0.69935,0.685,0.00878,0.78699,0.89995,0.90973,0.67572,1.01738,0.56127,0.01701,0.00037135,0.00037135,0.00037135
129,519.158,0.7472,0.73047,0.00979,0.81311,0.91315,0.90855,0.66156,1.04261,0.56091,0.01734,0.0003664,0.0003664,0.0003664
130,523.032,0.68645,0.7006,0.00956,0.82314,0.93518,0.91541,0.66823,1.02846,0.58408,0.0168,0.00036145,0.00036145,0.00036145
131,526.979,0.68421,0.68288,0.00931,0.81009,0.88739,0.91342,0.67393,0.99257,0.56339,0.01628,0.0003565,0.0003565,0.0003565
132,531.001,0.70882,0.67514,0.00891,0.81146,0.88723,0.90715,0.67657,0.96774,0.54862,0.01606,0.00035155,0.00035155,0.00035155
133,534.795,0.67606,0.66801,0.00867,0.80711,0.88958,0.90958,0.68832,0.94256,0.52556,0.0159,0.0003466,0.0003466,0.0003466
134,538.659,0.6775,0.64846,0.00889,0.81609,0.90116,0.91089,0.68632,0.94311,0.5358,0.01603,0.00034165,0.00034165,0.00034165
135,542.621,0.64181,0.64409,0.00847,0.82008,0.92384,0.91624,0.68452,0.93797,0.58272,0.01613,0.0003367,0.0003367,0.0003367
136,546.365,0.68511,0.68079,0.0091,0.85686,0.91532,0.91869,0.67862,0.92763,0.59838,0.01609,0.00033175,0.00033175,0.00033175
137,550.073,0.69311,0.65435,0.00928,0.85008,0.90927,0.91731,0.67657,0.93322,0.61523,0.01578,0.0003268,0.0003268,0.0003268
138,554.062,0.68463,0.64592,0.00904,0.86703,0.90466,0.91697,0.66978,0.9361,0.60608,0.01559,0.00032185,0.00032185,0.00032185
139,558.303,0.69068,0.64866,0.00964,0.82148,0.8945,0.90739,0.66195,0.99783,0.59805,0.01658,0.0003169,0.0003169,0.0003169
140,562.191,0.67918,0.61209,0.00894,0.84907,0.90713,0.92145,0.66458,1.02005,0.60051,0.01717,0.00031195,0.00031195,0.00031195
141,566.014,0.68396,0.65403,0.00929,0.88859,0.85445,0.93229,0.68188,0.97803,0.54408,0.01674,0.000307,0.000307,0.000307
142,569.607,0.66168,0.63141,0.00834,0.86733,0.8378,0.93274,0.69817,0.95061,0.55587,0.01619,0.00030205,0.00030205,0.00030205
143,573.63,0.66841,0.64324,0.0088,0.8806,0.86619,0.94327,0.70593,0.97527,0.53924,0.01715,0.0002971,0.0002971,0.0002971
144,577.416,0.67951,0.66025,0.00904,0.88445,0.86481,0.94998,0.70564,0.98889,0.534,0.01746,0.00029215,0.00029215,0.00029215
145,581.321,0.70617,0.65035,0.01016,0.86351,0.93893,0.9535,0.69938,1.01112,0.54053,0.01757,0.0002872,0.0002872,0.0002872
146,585.282,0.67021,0.61976,0.00845,0.86317,0.93851,0.95471,0.70388,1.00271,0.56654,0.01739,0.00028225,0.00028225,0.00028225
147,590.634,0.66709,0.62253,0.00866,0.89135,0.93464,0.94806,0.69509,0.99615,0.58058,0.01723,0.0002773,0.0002773,0.0002773
148,597.157,0.67857,0.68478,0.00848,0.89437,0.93917,0.94737,0.68892,0.98822,0.61827,0.01705,0.00027235,0.00027235,0.00027235
149,601.615,0.66632,0.62864,0.00889,0.91212,0.926,0.94755,0.70103,0.98461,0.608,0.01705,0.0002674,0.0002674,0.0002674
150,605.819,0.64082,0.61131,0.00892,0.88213,0.92956,0.94464,0.70245,0.98444,0.60187,0.01707,0.00026245,0.00026245,0.00026245
151,610.103,0.6795,0.59593,0.00941,0.89015,0.92043,0.94424,0.69786,0.97444,0.58818,0.01678,0.0002575,0.0002575,0.0002575
152,614.421,0.69127,0.61104,0.00928,0.85289,0.94085,0.94514,0.69472,0.98761,0.58661,0.01701,0.00025255,0.00025255,0.00025255
153,619.023,0.64639,0.59289,0.00863,0.83035,0.94939,0.94235,0.68889,0.98986,0.57618,0.01693,0.0002476,0.0002476,0.0002476
154,623.588,0.6751,0.63229,0.00859,0.84515,0.94645,0.94777,0.70122,0.985,0.56024,0.0169,0.00024265,0.00024265,0.00024265
155,627.688,0.64908,0.64164,0.0087,0.88046,0.91969,0.94582,0.70003,0.97055,0.57046,0.01668,0.0002377,0.0002377,0.0002377
156,631.562,0.6497,0.58944,0.00824,0.86117,0.91605,0.9431,0.69456,0.97386,0.57294,0.0167,0.00023275,0.00023275,0.00023275
157,635.585,0.67196,0.6108,0.00831,0.86851,0.9446,0.94309,0.69888,0.9794,0.56449,0.0167,0.0002278,0.0002278,0.0002278
158,639.471,0.63946,0.61768,0.00835,0.87127,0.94244,0.94173,0.69569,0.96564,0.59813,0.01656,0.00022285,0.00022285,0.00022285
159,643.197,0.64623,0.57953,0.00857,0.86862,0.94462,0.94543,0.68689,0.98918,0.62729,0.01739,0.0002179,0.0002179,0.0002179
160,647.978,0.64879,0.6055,0.0085,0.86671,0.95149,0.94632,0.69398,0.99855,0.60767,0.01757,0.00021295,0.00021295,0.00021295
161,654.828,0.63926,0.60252,0.00838,0.87383,0.94182,0.9499,0.7124,0.9788,0.53708,0.01686,0.000208,0.000208,0.000208
162,660.495,0.60795,0.58525,0.00756,0.86107,0.95486,0.95004,0.70549,0.97499,0.52412,0.0168,0.00020305,0.00020305,0.00020305
163,664.546,0.62219,0.57593,0.0077,0.83918,0.94053,0.94788,0.70089,0.95481,0.53821,0.01632,0.0001981,0.0001981,0.0001981
164,668.562,0.64722,0.62473,0.00849,0.84017,0.95401,0.95202,0.70319,0.96237,0.53233,0.01638,0.00019315,0.00019315,0.00019315
165,672.64,0.64479,0.56706,0.00809,0.82729,0.95195,0.95158,0.69649,0.98451,0.52005,0.01665,0.0001882,0.0001882,0.0001882
