id,name,lat,lng,category
240,Xin Tao Fang,24.96923,121.1992968,food_and_dining
241,Xing Fu Chu Fang,24.9641778,121.1931393,food_and_dining
242,Xing Fu Xiao Guan,24.9649518,121.1908049,food_and_dining
243,Xing Zheng Da Lou,24.9682777,121.1950533,education
244,Xue Sheng Hui,24.965671,121.1938158,office
245,Yi Pin Guo,24.965465,121.1936786,food_and_dining
246,Yi Ren Tang,24.9683424,121.1907771,education
247,Yi Yi Yuan,24.965017,121.1935452,food_and_dining
248,Yin He Chao Fan,24.9652441,121.1936509,food_and_dining
249,You Yi Guan,24.9662962,121.195962,education
250,Yu Qiu Guan,24.9691147,121.1908354,leisure
251,Yuan Hu Tu Di Gong Miao,24.9630809,121.1904175,amenity
252,Zao An Mei Zhi Cheng Zhong Li Huo Li Zhong Yang,24.9644479,121.1932818,food_and_dining
253,Zhen Gong Fu Cong Zhua Bing,24.9649057,121.1932544,food_and_dining
254,Zhi Dao Lou,24.9656431,121.1938321,education
255,Zhi Xi Guan,24.9702273,121.193658,education
256,Zhong Da Guo Min Yun Dong Zhong Xin,24.969721,121.189849,leisure
257,Zhong Da Hui Guan,24.9708064,121.1949658,tourism
258,Zhong Da Xi Yi Bu,24.9657435,121.1951219,shop
259,Zhong Da You Zhi Yuan,24.9660114,121.1919613,education
260,Zhong Da Yun Ding,24.9716396,121.1901036,residential
261,Zhong Li Guan Ce Zhan,24.967879,121.185107,office
262,Zhong Li Zheng Xin Ming Niu Rou Mian,24.9650117,121.1910015,food_and_dining
263,Zhong Yang Bo De MBA,24.9673116,121.1828007,building
264,Zhong Yang Da Xue You Ju iYou Xiang,24.965654,121.194611,amenity
265,Zhou Wang,24.9652355,121.1936332,food_and_dining
266,Zhu Xiang Zi Zhu Can,24.9644116,121.1912468,food_and_dining
267,Zhuan Shi Yuan,24.9652433,121.1935428,food_and_dining
268,Zi Ce Hui,24.9678294,121.1917148,education
269,Zi Dian Xue Yuan,24.9674672,121.1916643,education
270,Zi Yuan Hui Shou Ji La Ji Chu Li Chang,24.9699991,121.1961998,amenity
271,Zong Tu Shu Guan,24.9682585,121.1942862,education
272,iHouseXiang Xiang Kong Jian,24.9661272,121.1933112,education
